analysis_id,886s34248h9z9a1
gene_accession_id,MGI:2442483
pvalue,0.1678822
mouse_strain,C57BL
parameter_id,JAX_OFD_015_001
parameter_name,Center resting time
mouse_life_stage,Early adult
gene_symbol,Usp37
