analysis_id,j91r4j2d687jb6a
gene_accession_id,MGI:1345282
pvalue,0.9234535
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Slc30a4
parameter_name,Total CD8+ T cells - % of ab T cells
parameter_id,MGP_IMM_013_001
