gene_symbol,Gfi1b
mouse_life_stage,Early adult
analysis_id,52f1l67qry057zp
mouse_strain,C57BL
parameter_id,IMPC_CBC_006_001
pvalue,0.4752026
parameter_name,Total protein
gene_accession_id,MGI:1276578
