analysis_id,pkx7so13b110t07
mouse_strain,C57BL
gene_symbol,Atg4c
mouse_life_stage,Early adult
parameter_id,MGP_MLN_013_001
gene_accession_id,MGI:2651854
parameter_name,Effector CD8+ T cells - % of CD8+
pvalue,0.9598636
