parameter_id,IMPC_ECH_002_001
analysis_id,221995mbi9z8qgj
gene_accession_id,MGI:1346344
mouse_strain,B6J
pvalue,0.1184599
mouse_life_stage,Early adult
gene_symbol,Nr0b2
parameter_name,End-Diastolic Diameter
