parameter_name,Startle response
mouse_life_stage,Early adult
pvalue,0.866312
gene_accession_id,MGI:88479
parameter_id,HMGULA_SHI_009_001
mouse_strain,C57BL
gene_symbol,Cpa3
analysis_id,4k18061fn9799oh
