analysis_id,cs963btjd8n5457
mouse_life_stage,E12.5
gene_accession_id,MGI:88174
gene_symbol,Bmi1
parameter_id,IMPC_GEL_060_001
parameter_name,Neural tube morphology
pvalue,0.3310914
mouse_strain,C57BL
