analysis_id,447jh6g0f9gy802
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.3059319
gene_accession_id,MGI:105073
gene_symbol,Tnni1
parameter_id,IMPC_ECG_008_001
parameter_name,ST
