parameter_name,LDL-cholesterol
mouse_strain,C57BL
pvalue,1.108667
analysis_id,8xlm1pm0lb1sb85
gene_accession_id,MGI:2446186
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_025_001
gene_symbol,LPGAT1
