gene_symbol,Sdcbp2
parameter_id,MGP_IMM_070_001
pvalue,0.4973463
mouse_life_stage,Early adult
parameter_name,Total ab T cells - % of CD45+
mouse_strain,C57BL
analysis_id,bsw15ccn4u3ioxq
gene_accession_id,MGI:2385156
