parameter_id,IMPC_GPO_002_001
analysis_id,57xt6ql18j50r3n
mouse_life_stage,Early adult
gene_symbol,Ncaph
pvalue,0.2361069
mouse_strain,C57BL
gene_accession_id,MGI:2444777
parameter_name,Placenta Morphology
