analysis_id,f707m63kfe34k59
gene_accession_id,MGI:106100
mouse_strain,C57BL
parameter_id,IMPC_CBC_011_001
mouse_life_stage,Early adult
gene_symbol,Etfdh
pvalue,0.8293729
parameter_name,Iron
