gene_symbol,Lime1
analysis_id,184b0nz40rg0880
pvalue,0.677111
parameter_id,IMPC_GRS_009_001
gene_accession_id,MGI:1919949
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Forelimb and hindlimb grip strength measurement mean
