parameter_name,Red blood cell count
pvalue,0.5839426
analysis_id,mhp605b128jwaed
parameter_id,ESLIM_016_001_002
gene_symbol,Mapkap1
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:2444554
