analysis_id,84o106phw1503l7
mouse_life_stage,Early adult
pvalue,0.386603
parameter_name,Resting CD8+ T cells - % of CD8+
gene_accession_id,MGI:1914836
parameter_id,MGP_MLN_014_001
mouse_strain,C57BL
gene_symbol,Ubxn11
