parameter_name,Iron
pvalue,0.1272334
mouse_strain,C57BL
gene_symbol,Ntmt2
parameter_id,IMPC_CBC_011_001
analysis_id,5143b4sfi9q610b
mouse_life_stage,Early adult
gene_accession_id,MGI:2685053
