parameter_name,Neutrophil percentage
analysis_id,70003052w3ae75s
pvalue,0.06895122
gene_symbol,Nanp
parameter_id,MGP_PBI_019_001
gene_accession_id,MGI:1914561
mouse_strain,C57BL
mouse_life_stage,Early adult
