parameter_name,Whole arena average speed
gene_symbol,Kcng1
parameter_id,JAX_OFD_009_001
mouse_strain,C57BL
gene_accession_id,MGI:3616086
analysis_id,40p3sftd25021po
pvalue,0.916069
mouse_life_stage,Early adult
