parameter_name,% Freezing duration pre-cue-2
mouse_life_stage,Early adult
pvalue,0.2520735
parameter_id,ICS_FEA_019_001
mouse_strain,C57BL
gene_accession_id,MGI:2181659
analysis_id,86n9rlkb0f9o3cz
gene_symbol,Tox
