analysis_id,rg23w40eu3k14w3
pvalue,0.8165977
mouse_life_stage,Early adult
parameter_name,Coat - hair distribution - head
gene_symbol,Ints7
mouse_strain,C57BL
parameter_id,IMPC_CSD_012_001
gene_accession_id,MGI:1924315
