gene_symbol,Galnt13
mouse_life_stage,Middle aged adult
gene_accession_id,MGI:2139447
mouse_strain,C57BL
parameter_id,JAXLA_DXA_003_001
analysis_id,zqn53h0813i0798
parameter_name,Lean mass
pvalue,0.4041209
