gene_symbol,Cldn19
parameter_name,CD8+ alpha beta T cell percentage
analysis_id,i314ufb960p8tkg
gene_accession_id,MGI:3033992
parameter_id,MGP_PBI_004_001
pvalue,0.1920794
mouse_life_stage,Early adult
mouse_strain,C57BL
