parameter_name,center - distance
gene_accession_id,MGI:1915087
mouse_life_stage,Early adult
gene_symbol,Tiprl
analysis_id,1x9x6y2l553r395
parameter_id,M-G-P_007_001_010
mouse_strain,C57BL
pvalue,0.9042992
