analysis_id,wtz3dtsin0271sz
mouse_strain,C57BL
parameter_name,CD8 CD44-CD62L+ T cells
gene_accession_id,MGI:1919949
parameter_id,IMPC_IMM_034_001
pvalue,0.692981
mouse_life_stage,Early adult
gene_symbol,Lime1
