analysis_id,361t5se6485p87w
gene_accession_id,MGI:1919137
parameter_id,JAXLA_CSD_021_001
mouse_life_stage,Early adult
parameter_name,Hindlimbs - shape
gene_symbol,Ppm1j
pvalue,0.3257376
mouse_strain,C57BL
