gene_symbol,Sgip1
parameter_name,Fractional Shortening
gene_accession_id,MGI:1920344
mouse_strain,C57BL
parameter_id,IMPC_ECH_005_001
pvalue,0.7264607
mouse_life_stage,Early adult
analysis_id,4d37v4s56h40809
