mouse_strain,B6J
mouse_life_stage,Early adult
analysis_id,8lrxp3tr0y738w2
parameter_name,Phosphorus
pvalue,0.2848047
gene_symbol,Nr0b2
gene_accession_id,MGI:1346344
parameter_id,IMPC_CBC_010_001
