analysis_id,219d29wnxh35w0o
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_OFD_017_001
gene_accession_id,MGI:1914050
pvalue,0.7606061
parameter_name,Center average speed
gene_symbol,Trp53rkb
