analysis_id,ybx677w34yv1g2q
gene_symbol,Ahcy
pvalue,0.8416959
mouse_strain,C57BL
parameter_name,Coat - color - abdomen
gene_accession_id,MGI:87968
mouse_life_stage,E12.5
parameter_id,IMPC_CSD_007_001
