analysis_id,0sjhwe3q4352c3z
parameter_name,Total food intake
gene_symbol,Orc2
mouse_life_stage,E9.5
parameter_id,IMPC_CAL_008_001
pvalue,0.4447553
gene_accession_id,MGI:1328306
mouse_strain,C57BL
