gene_symbol,Car13
mouse_life_stage,Early adult
parameter_id,IMPC_ECG_008_001
mouse_strain,C57BL
parameter_name,ST
pvalue,0.2363093
gene_accession_id,MGI:1931322
analysis_id,01kacp8vj0700ls
