parameter_name,CD8 CD44-CD62L+ T cells
gene_accession_id,MGI:109356
parameter_id,IMPC_IMM_034_001
mouse_strain,C57BL
pvalue,0.1476677
gene_symbol,Snap23
analysis_id,5r1zski5u5lvadc
mouse_life_stage,Late adult
