parameter_name,B cell percentage
parameter_id,MGP_PBI_014_001
analysis_id,367z9p37ao28c12
gene_symbol,AU040320
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:2140475
pvalue,0.08264041
