parameter_name,Heart weight
mouse_life_stage,Early adult
gene_symbol,Kcng1
analysis_id,7n3qk260x49imk6
gene_accession_id,MGI:3616086
pvalue,0.6497987
mouse_strain,C57BL
parameter_id,HMGULA_HWT_008_001
