analysis_id,6m58iw62xci7774
mouse_strain,C57BL
pvalue,0.5459494
gene_symbol,Ahcy
parameter_id,MGP_PBI_031_001
gene_accession_id,MGI:87968
mouse_life_stage,E9.5
parameter_name,KLRG1+ mature NK cell number
