parameter_name,Periphery resting time
gene_accession_id,MGI:1913483
pvalue,0.3108723
analysis_id,912ed4s9xejhe1j
mouse_life_stage,E9.5
gene_symbol,Dmap1
mouse_strain,C57BL
parameter_id,HRWLLA_OFD_011_001
