analysis_id,cjmafa1knto6rns
gene_symbol,Stk35
gene_accession_id,MGI:1914583
mouse_strain,C57BL
parameter_id,IMPC_IMM_006_001
parameter_name,Others
mouse_life_stage,Early adult
pvalue,0.6168375
