parameter_name,Limb coat/hair presence
parameter_id,MGP_CSD_030_001
gene_accession_id,MGI:1345282
analysis_id,z07075436049jg1
mouse_life_stage,Middle aged adult
gene_symbol,Slc30a4
pvalue,0.5078454
mouse_strain,C57BL
