gene_symbol,Duoxa2
mouse_strain,C57BL
analysis_id,lrcu78i1a8il63t
pvalue,0.6478221
mouse_life_stage,Early adult
parameter_name,MZB (CD21/35 high)
parameter_id,IMPC_IMM_071_001
gene_accession_id,MGI:1914061
