gene_symbol,Ift74
gene_accession_id,MGI:1914944
parameter_name,Creatinine
parameter_id,HMGULA_CBC_005_001
mouse_strain,C57BL
pvalue,0.732509
mouse_life_stage,Early adult
analysis_id,7938cjpx6w3t9o9
