analysis_id,20uc571e0g8f48q
mouse_life_stage,Late adult
parameter_id,HMGULA_CBC_018_001
gene_accession_id,MGI:2446274
parameter_name,Glucose
mouse_strain,C57BL
pvalue,0.5376138
gene_symbol,Frmpd1
