analysis_id,478fza7d2352374
gene_accession_id,MGI:95835
mouse_life_stage,E12.5
gene_symbol,Hspa5
parameter_id,IMPC_CBC_013_001
pvalue,0.1718757
mouse_strain,C57BL
parameter_name,Alanine aminotransferase
