gene_symbol,Steap3
mouse_life_stage,Early adult
parameter_name,Thoracic processes
gene_accession_id,MGI:1915678
mouse_strain,C57BL
parameter_id,IMPC_XRY_064_001
analysis_id,m7h8m04162uu79b
pvalue,0.5877374
