parameter_name,Bone Area
analysis_id,mv0s6cv819512j2
mouse_strain,C57BL
parameter_id,IMPC_DXA_010_001
pvalue,0.4311881
gene_accession_id,MGI:2444554
mouse_life_stage,Early adult
gene_symbol,Mapkap1
