analysis_id,0n1p9012r77a403
mouse_life_stage,Early adult
gene_accession_id,MGI:2685266
parameter_id,ESLIM_011_001_006
parameter_name,110dB startle magnitude
gene_symbol,Pglyrp3
mouse_strain,C57BL
pvalue,0.9096427
