gene_symbol,Sla2
gene_accession_id,MGI:1925049
mouse_strain,C57BL
analysis_id,18m5903jh4x338x
parameter_id,MGP_MLN_058_001
pvalue,0.3127479
mouse_life_stage,Early adult
parameter_name,Plasmacytoid DC - % of DC
