parameter_name,Dark side time spent
gene_symbol,Car13
pvalue,0.9338164
gene_accession_id,MGI:1931322
mouse_strain,C52BL
analysis_id,83630703r7t679d
parameter_id,JAX_LDT_004_001
mouse_life_stage,Early adult
