parameter_id,M-G-P_012_001_005
analysis_id,z5d61e76v7cmcp4
gene_accession_id,MGI:1914050
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Body Weight
pvalue,0.5366461
gene_symbol,Trp53rkb
