parameter_name,Fractional Shortening
pvalue,0.9021695
parameter_id,IMPC_ECH_005_001
gene_accession_id,MGI:97838
mouse_strain,C57BL
mouse_life_stage,E12.5
analysis_id,2ux74vo3307l3tv
gene_symbol,Eprs1
