analysis_id,o5se4yo8220lk79
pvalue,0.9906821
gene_symbol,Snap23
mouse_life_stage,Middle aged adult
parameter_id,ESLIM_011_001_010
mouse_strain,C57BL
gene_accession_id,MGI:109356
parameter_name,PP4 + pulse startle magnitude
