analysis_id,316we9n5y922fp9
mouse_strain,C57BL
parameter_name,Hindlimb digit - size
gene_accession_id,MGI:1914515
parameter_id,IMPC_CSD_047_001
pvalue,0.4826241
gene_symbol,Slc39a10
mouse_life_stage,Early adult
