parameter_name,Mean cell volume
mouse_strain,C57BL
analysis_id,enzf0klya753932
mouse_life_stage,Early adult
gene_accession_id,MGI:104848
gene_symbol,Inpp1
pvalue,0.6408242
parameter_id,ESLIM_016_001_005
