analysis_id,x3k353k8z262t5k
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Rab3gap2
pvalue,0.3004911
gene_accession_id,MGI:1916043
parameter_id,MGP_IMM_129_001
parameter_name,CD11b-high cDC - % of CD45+
