analysis_id,02746nm24ogr226
parameter_name,Percent time in dark
parameter_id,JAX_LDT_008_001
pvalue,0.8458936
gene_accession_id,MGI:1915524
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Toporsl
