analysis_id,8l036911nhgs614
parameter_id,MGP_IMM_110_001
pvalue,0.9066663
gene_symbol,Ahctf1
parameter_name,Transitional 1 B cells - % of CD45+
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1915033
