analysis_id,abqp369l91169sj
parameter_name,Fat/Body weight
pvalue,0.1802362
gene_symbol,Rap2b
gene_accession_id,MGI:1921262
parameter_id,JAXLA_DXA_009_001
mouse_strain,C57BL
mouse_life_stage,Early adult
