analysis_id,069g34zl198lb8j
mouse_strain,C57BL
parameter_id,ESLIM_011_001_010
gene_accession_id,MGI:1345282
parameter_name,PP4 + pulse startle magnitude
gene_symbol,Slc30a4
pvalue,0.9536104
mouse_life_stage,Late adult
