gene_symbol,Zyg11b
analysis_id,o7cyohaf9vt33a9
mouse_strain,C57BL
pvalue,0.5053727
mouse_life_stage,Early adult
gene_accession_id,MGI:2685277
parameter_name,Vocalization
parameter_id,IMPC_CSD_078_001
