analysis_id,706n5ib25v06oj1
mouse_life_stage,Early adult
gene_accession_id,MGI:2684980
pvalue,0.7509468
parameter_name,Hindlimbs - size
mouse_strain,129SV
parameter_id,JAXLA_CSD_022_001
gene_symbol,Mms22l
