parameter_name,NK Subsets (Q2)
pvalue,0.1518588
mouse_strain,C57BL
gene_symbol,Rab17
analysis_id,386ucl7ou4v97d2
parameter_id,IMPC_IMM_055_001
mouse_life_stage,Early adult
gene_accession_id,MGI:104640
