parameter_name,Phosphorus
parameter_id,IMPC_CBC_010_001
gene_symbol,Ppm1j
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1919137
analysis_id,7s5n2pa478opwy3
pvalue,0.2601873
