parameter_name,110dB startle magnitude
parameter_id,ESLIM_011_001_006
analysis_id,s87k2n6xub5v1e5
gene_accession_id,MGI:1920638
pvalue,0.8655008
mouse_strain,C57BL
gene_symbol,Bpifa3
mouse_life_stage,Early adult
