analysis_id,68v9mao11s74065
mouse_strain,C57BL
gene_symbol,Amigo1
pvalue,0.3116185
parameter_id,UCD_OWT_008_001
parameter_name,Liver weight
gene_accession_id,MGI:2653612
mouse_life_stage,Early adult
