parameter_name,MZB (CD21/35 high)
pvalue,0.7238495
parameter_id,IMPC_IMM_071_001
analysis_id,6z677ym4ve3f6av
gene_symbol,Inpp1
gene_accession_id,MGI:104848
mouse_strain,C57BL
mouse_life_stage,Early adult
